scenario_name,tracking_error_target,frontier_mode,optimization_method,solver_success,ex_post_ic,alpha_over_ic_dispersion,realized_return_over_sigma_dispersion,transfer_coefficient,risk_weighted_transfer_coefficient,active_return,active_risk,realized_tracking_error,information_ratio,theoretical_information_ratio,trial_id,run_key
unconstrained,,,cvxportfolio_policy_execute,True,-0.4482061003504005,0.011588299276645534,0.7095659669908161,,,-1.7225075681595662e-19,2.15103403388659e-19,2.15103403388659e-19,,,2,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.4482061003504005,0.011588299276645534,0.7095659669908161,-0.8252584553890472,-0.8200319266152281,4.893622138900884e-09,4.788914504575001e-09,4.788914504575001e-09,,1.1622740046535536,2,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.4482061003504005,0.011588299276645534,0.7095659669908161,,,-1.7222714168182787e-19,2.1507359782077715e-19,2.1507359782077715e-19,,,2,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.4482061003504005,0.011588299276645534,0.7095659669908161,-0.3988487150183511,-0.3963227330702157,2.9377169736256624e-07,4.802597797949667e-07,4.802597797949667e-07,0.611693316246436,0.5617288731697132,2,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.4482061003504005,0.011588299276645534,0.7095659669908161,-0.6484230275960029,-0.6443164461368048,7.322971331333556e-08,8.42222322210112e-08,8.42222322210112e-08,0.8694819809711324,0.913223292666936,2,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.12183375523001447,0.03201959106459278,0.9553465914697401,,,-2.814142198919168e-19,7.524261661982821e-19,7.524261661982821e-19,,,3,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.12183375523001447,0.03201959106459278,0.9553465914697401,,,-2.8134036409421304e-19,7.520847513542777e-19,7.520847513542777e-19,,,3,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.12183375523001447,0.03201959106459278,0.9553465914697401,,,-2.8134036409421304e-19,7.520847513542777e-19,7.520847513542777e-19,,,3,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.12183375523001447,0.03201959106459278,0.9553465914697401,0.575745864414586,0.5546952715500441,-3.4438943268207484e-08,9.140551354460952e-08,9.140551354460952e-08,-0.3767709619770356,-0.21370864675329007,3,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.12183375523001447,0.03201959106459278,0.9553465914697401,0.08715539808478562,0.083968796328062,-1.2516171171609218e-09,2.548435173348361e-07,2.548435173348361e-07,-0.004911316286364215,-0.03235083973697403,3,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.7539298621609748,0.004010901789839079,0.9778625348019253,,,-1.7589515583144703e-18,1.203500019073175e-18,1.203500019073175e-18,,,4,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.7539298621609748,0.004010901789839079,0.9778625348019253,,,-1.7582455050974025e-18,1.2030279008130096e-18,1.2030279008130096e-18,,,4,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.7539298621609748,0.004010901789839079,0.9778625348019253,-0.6673637569400139,-0.6655473726647207,2.3510688671823735e-06,1.6490290439337484e-06,1.6490290439337484e-06,1.4257292046075267,1.586755158331018,4,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.7539298621609748,0.004010901789839079,0.9778625348019253,-0.015837344034850934,-0.015794256422165334,-4.025910692169679e-07,4.372046908070795e-07,4.372046908070795e-07,-0.9208297113047554,0.03765564838687871,4,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.7539298621609748,0.004010901789839079,0.9778625348019253,,,-1.7577996675758804e-18,1.2027161278966204e-18,1.2027161278966204e-18,,,4,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.10366960813918022,0.04151113691808256,0.6807734978640394,,,1.0062682316820034e-20,1.5263433066286627e-19,1.5263433066286627e-19,,,5,unconstrained
